Income Leve,Country Code,Country Name
High income,ABW,Aruba
High income,AND,Andorra
High income,ARE,United Arab Emirates
High income,ATG,Antigua and Barbuda
High income,AUS,Australia
High income,AUT,Austria
High income,BEL,Belgium
High income,BHR,Bahrain
High income,BHS,"Bahamas, The"
High income,BMU,Bermuda
High income,BRB,Barbados
High income,BRN,Brunei Darussalam
High income,CAN,Canada
High income,CHE,Switzerland
High income,CHI,Channel Islands
High income,CHL,Chile
High income,CUW,Curacao
High income,CYM,Cayman Islands
High income,CYP,Cyprus
High income,CZE,Czech Republic
High income,DEU,Germany
High income,DNK,Denmark
High income,ESP,Spain
High income,EST,Estonia
High income,FIN,Finland
High income,FRA,France
High income,FRO,Faroe Islands
High income,GBR,United Kingdom
High income,GIB,Gibraltar
High income,GRC,Greece
High income,GRL,Greenland
High income,GUM,Guam
High income,HKG,"Hong Kong SAR, China"
High income,HRV,Croatia
High income,HUN,Hungary
High income,IMN,Isle of Man
High income,IRL,Ireland
High income,ISL,Iceland
High income,ISR,Israel
High income,ITA,Italy
High income,JPN,Japan
High income,KNA,St. Kitts and Nevis
High income,KOR,"Korea, Rep."
High income,KWT,Kuwait
High income,LIE,Liechtenstein
High income,LTU,Lithuania
High income,LUX,Luxembourg
High income,LVA,Latvia
High income,MAC,"Macao SAR, China"
High income,MAF,St. Martin (French part)
High income,MCO,Monaco
High income,MLT,Malta
High income,MNP,Northern Mariana Islands
High income,MUS,Mauritius
High income,NCL,New Caledonia
High income,NLD,Netherlands
High income,NOR,Norway
High income,NRU,Nauru
High income,NZL,New Zealand
High income,OMN,Oman
High income,PAN,Panama
High income,PLW,Palau
High income,POL,Poland
High income,PRI,Puerto Rico
High income,PRT,Portugal
High income,PYF,French Polynesia
High income,QAT,Qatar
High income,ROU,Romania
High income,SAU,Saudi Arabia
High income,SGP,Singapore
High income,SMR,San Marino
High income,SVK,Slovak Republic
High income,SVN,Slovenia
High income,SWE,Sweden
High income,SXM,Sint Maarten (Dutch part)
High income,SYC,Seychelles
High income,TCA,Turks and Caicos Islands
High income,TTO,Trinidad and Tobago
High income,TWN,"Taiwan, China"
High income,URY,Uruguay
High income,USA,United States of America
High income,VGB,British Virgin Islands
High income,VIR,Virgin Islands (U.S.)
Low income,AFG,Afghanistan
Low income,BDI,Burundi
Low income,BFA,Burkina Faso
Low income,CAF,Central African Republic
Low income,COD,"Congo, Dem. Rep."
Low income,ERI,Eritrea
Low income,ETH,Ethiopia
Low income,GIN,Guinea
Low income,GMB,"Gambia, The"
Low income,GNB,Guinea-Bissau
Low income,HTI,Haiti
Low income,LBR,Liberia
Low income,MDG,Madagascar
Low income,MLI,Mali
Low income,MOZ,Mozambique
Low income,MWI,Malawi
Low income,NER,Niger
Low income,PRK,"Korea, Dem. People's Rep."
Low income,RWA,Rwanda
Low income,SDN,Sudan
Low income,SLE,Sierra Leone
Low income,SOM,Somalia
Low income,SSD,South Sudan
Low income,SYR,Syrian Arab Republic
Low income,TCD,Chad
Low income,TGO,Togo
Low income,TJK,Tajikistan
Low income,UGA,Uganda
Low income,YEM,"Yemen, Rep."
Lower middle income,AGO,Angola
Lower middle income,BEN,Benin
Lower middle income,BGD,Bangladesh
Lower middle income,BOL,Bolivia
Lower middle income,BTN,Bhutan
Lower middle income,CIV,Cote d'Ivoire
Lower middle income,CMR,Cameroon
Lower middle income,COG,"Congo, Rep."
Lower middle income,COM,Comoros
Lower middle income,CPV,Cabo Verde
Lower middle income,DJI,Djibouti
Lower middle income,DZA,Algeria
Lower middle income,EGY,"Egypt, Arab Rep."
Lower middle income,FSM,"Micronesia, Fed. Sts."
Lower middle income,GHA,Ghana
Lower middle income,HND,Honduras
Lower middle income,IND,India
Lower middle income,KEN,Kenya
Lower middle income,KGZ,Kyrgyz Republic
Lower middle income,KHM,Cambodia
Lower middle income,KIR,Kiribati
Lower middle income,LAO,Lao PDR
Lower middle income,LKA,Sri Lanka
Lower middle income,LSO,Lesotho
Lower middle income,MAR,Morocco
Lower middle income,MDA,Moldova
Lower middle income,MMR,Myanmar
