permno,date,RET
80223,2000-01-31,0.018235
80223,2000-02-29,-0.043478
80223,2000-03-31,0.151515
80223,2000-04-28,-0.049474
80223,2000-05-31,0.111111
80223,2000-06-30,0.00625
80223,2000-07-31,0.145839
80223,2000-08-31,0.157609
80223,2000-09-29,0.239437
80223,2000-10-31,0.085152
80223,2000-11-30,-0.055944
80223,2000-12-29,0.177778
80223,2001-01-31,-0.142893
80223,2001-02-28,-0.003676
80223,2001-03-30,0.04797
80223,2001-04-30,0.106197
80223,2001-05-31,0.086735
80223,2001-06-29,0.051643
80223,2001-07-31,0.060491
80223,2001-08-31,-0.097808
80223,2001-09-28,-0.088318
80223,2001-10-31,0.042799
80223,2001-11-30,-0.000985
80223,2001-12-31,0.087728
80223,2002-01-31,-0.033983
80223,2002-02-28,0.075658
80223,2002-03-28,0.168633
80223,2002-04-30,0.005234
80223,2002-05-31,-0.01676
80223,2002-06-28,-0.062879
80223,2002-07-31,-0.073969
80223,2002-08-30,0.007871
80223,2002-09-30,-0.075922
80223,2002-10-31,-0.133803
80223,2002-11-29,0.018468
80223,2002-12-31,0.0592
80223,2003-01-31,-0.090634
80223,2003-02-28,-0.094392
80223,2003-03-31,-0.082771
80223,2003-04-30,0.259358
80223,2003-05-30,-0.00479
80223,2003-06-30,0.129412
80223,2003-07-31,0.122159
80223,2003-08-29,-0.011417
80223,2003-09-30,0.007699
80223,2003-10-31,0.084465
80223,2003-11-28,0.016863
80223,2003-12-31,-0.042036
80223,2004-01-30,0.040258
80223,2004-02-27,0.05353
80223,2004-03-31,0.030928
80223,2004-04-30,-0.165714
80223,2004-05-28,-0.017597
80223,2004-06-30,0.011796
80223,2004-07-30,0.00475
80223,2004-08-31,0.049548
80223,2004-09-30,0.02463
80223,2004-10-29,-0.014423
80223,2004-11-30,0.103912
80223,2004-12-31,0.039867
80223,2005-01-31,-0.009585
80223,2005-02-28,-0.030172
80223,2005-03-31,-0.12037
80223,2005-04-29,-0.059368
80223,2005-05-31,0.099237
80223,2005-06-30,0.029412
80223,2005-07-29,0.139682
80223,2005-08-31,-0.0726
80223,2005-09-30,-0.001129
80223,2005-10-31,0.093444
80223,2005-11-30,0.070812
80223,2005-12-30,-0.01871
80223,2006-01-31,0.006575
80223,2006-02-28,0.002292
80223,2006-03-31,0.103888
80223,2006-04-28,-0.013614
80223,2006-05-31,-0.097744
80223,2006-06-30,-0.07
80223,2006-07-31,-0.096416
80223,2006-08-31,-0.006765
80223,2006-09-29,0.116987
80223,2006-10-31,-0.005739
80223,2006-11-30,-0.017728
80223,2006-12-29,0.039042
80223,2007-01-31,0.028359
80223,2007-02-28,-0.00242
80223,2007-03-30,-0.032236
80223,2007-04-30,-0.000716
80223,2007-05-31,0.017979
80223,2007-06-29,-0.050865
80223,2007-07-31,-0.048009
80223,2007-08-31,0.065124
80223,2007-09-28,0.025414
80223,2007-10-31,0.036279
80223,2007-11-30,-0.04242
80223,2007-12-31,-0.016703
80223,2008-01-31,-0.15325
80223,2008-02-29,-0.396846
80223,2008-03-31,-0.230937
80223,2008-04-30,-0.11237
80223,2008-05-30,-0.093548
80223,2008-06-30,-0.327402
80223,2008-07-31,0.380952
80223,2008-08-29,0.14304
80223,2008-09-30,-0.022371
80223,2008-10-31,0.012586
